day,year,week,variant,ireg,region,positive,genomes,cases
265,2020,46,b1351,4,copenhagen,0,484,3325
265,2020,46,b1351,5,sjaelland,0,154,899
265,2020,46,b1351,6,whole_denmark,0,1435,7508
265,2020,46,b1525,0,other,0,21,
265,2020,46,b1525,1,nordjylland,0,308,485
265,2020,46,b1525,2,midtjylland,0,302,1600
265,2020,46,b1525,3,syddanmark,0,166,1087
265,2020,46,b1525,4,copenhagen,0,484,3325
265,2020,46,b1525,5,sjaelland,0,154,899
265,2020,46,b1525,6,whole_denmark,0,1435,7508
265,2020,46,d614g,1,nordjylland,308,308,485
265,2020,46,d614g,2,midtjylland,301,302,1600
265,2020,46,d614g,3,syddanmark,166,166,1087
265,2020,46,d614g,4,copenhagen,429,429,3325
265,2020,46,d614g,5,sjaelland,135,136,899
265,2020,46,d614g,6,whole_denmark,1339,1341,7508
265,2020,46,e484k,0,other,0,21,
265,2020,46,e484k,1,nordjylland,0,308,485
265,2020,46,e484k,2,midtjylland,0,302,1600
265,2020,46,e484k,3,syddanmark,0,166,1087
265,2020,46,e484k,4,copenhagen,0,484,3325
265,2020,46,e484k,5,sjaelland,0,154,899
265,2020,46,e484k,6,whole_denmark,0,1435,7508
265,2020,46,n439k,0,other,2,21,
265,2020,46,n439k,1,nordjylland,42,308,485
265,2020,46,n439k,2,midtjylland,15,302,1600
265,2020,46,n439k,3,syddanmark,17,166,1087
265,2020,46,n439k,4,copenhagen,57,484,3325
265,2020,46,n439k,5,sjaelland,9,154,899
265,2020,46,n439k,6,whole_denmark,142,1435,7508
265,2020,46,n501y,0,other,0,21,
265,2020,46,n501y,1,nordjylland,0,308,485
265,2020,46,n501y,2,midtjylland,0,302,1600
265,2020,46,n501y,3,syddanmark,0,166,1087
265,2020,46,n501y,4,copenhagen,4,484,3325
265,2020,46,n501y,5,sjaelland,0,154,899
265,2020,46,n501y,6,whole_denmark,4,1435,7508
265,2020,46,p1,0,other,0,21,
265,2020,46,p1,1,nordjylland,0,308,485
265,2020,46,p1,2,midtjylland,0,302,1600
265,2020,46,p1,3,syddanmark,0,166,1087
265,2020,46,p1,4,copenhagen,0,484,3325
265,2020,46,p1,5,sjaelland,0,154,899
265,2020,46,p1,6,whole_denmark,0,1435,7508
265,2020,46,p2,0,other,0,21,
265,2020,46,p2,1,nordjylland,0,308,485
265,2020,46,p2,2,midtjylland,0,302,1600
265,2020,46,p2,3,syddanmark,0,166,1087
265,2020,46,p2,4,copenhagen,0,484,3325
265,2020,46,p2,5,sjaelland,0,154,899
265,2020,46,p2,6,whole_denmark,0,1435,7508
265,2020,46,y453f,0,other,5,21,
265,2020,46,y453f,1,nordjylland,89,308,485
265,2020,46,y453f,2,midtjylland,91,302,1600
